slug,name,acronym,owner_org,governance_body,homepage_url,spec_repo_url,scope_domains,geographies,standard_types,stage,license,known_adopters,overlaps_with,dependencies,interoperability_notes
"common-basic-dataset","Common basic data set (CBDS): database","CBDS","Department for Education",,"https://www.gov.uk/government/publications/common-basic-data-set-cbds-database",,"education;management information",,,"active",,,,,"The latest common basic data set (CBDS) and version control log for use by software suppliers developing management information systems."
"","Adult Social Care Minimum Operational Data Standards (MODS)",,,,,,,,,,,,,,
"","Fast Healthcare Interoperability Resources (FHIR)",,,,,,,,,,,,,,
"","Snomed CT",,,,,,,,,,,,,,
"","PRSB Core Information Standard Version 2.0",,,,,,,,,,,,,,
"","Healthy Child Record Standard",,,,,,,,,,,,,,
"","Scalable Approach to Vulnerability via Interoperability (SAVVI)",,,,,,,,,,,,,,
"","Open Referral UK data standard",,,,,,,,,,,,,,
"","Integrated Care Systems (ICS)",,,,,,,,,,,,,,
"","Integrated Children's System (ICS)",,,,,,,,,,,,,,
"","NR3S",,,,,,,,,,,,,,
"","Smart City Concept Model",,,,,,,,,,,,,,
"","Childhood Measurement Central Return",,,,,,,,,,,,,,
"","Adult Social Care Reporting Minimum Data Specification (RMDS)",,,,,,,,,,,,,,
"","IPSV",,,,,,,,,,,,,,
"","Child Protection Information Sharing (CP-IS) Service",,,,,,,,,,,,,,
"","About me v1.2",,,,,,,,,,,,,,
"","International Patient Summary",,,,,,,,,,,,,,
"","PSRB Child Specific Standards",,,,,,,,,,,,,,
"","Accessible Information Standard",,,,,,,,,,,,,,
"","schema.org",,,,,,,,,,,,,,
